iter	Passed	Remaining
0	26	16114
1	49	14857
2	74	14864
3	97	14584
4	121	14441
5	145	14448
6	169	14361
7	193	14316
8	217	14313
9	243	14339
10	265	14240
11	289	14164
12	311	14063
13	334	13995
14	357	13937
15	382	13945
16	406	13925
17	429	13873
18	451	13810
19	475	13785
20	500	13790
21	524	13784
22	551	13836
23	574	13797
24	598	13767
25	622	13737
26	645	13692
27	668	13652
28	691	13613
29	717	13624
30	740	13591
31	764	13562
32	786	13517
33	809	13481
34	832	13432
35	854	13381
36	877	13349
37	901	13332
38	923	13283
39	945	13232
40	968	13209
41	991	13175
42	1014	13143
43	1036	13098
44	1060	13077
45	1083	13043
46	1105	13006
47	1128	12975
48	1151	12944
49	1173	12912
50	1195	12871
51	1218	12844
52	1243	12838
53	1266	12802
54	1288	12769
55	1310	12732
56	1333	12701
57	1355	12664
58	1378	12641
59	1403	12628
60	1425	12595
61	1446	12554
62	1468	12519
63	1490	12485
64	1512	12446
65	1536	12431
66	1559	12402
67	1582	12383
68	1605	12357
69	1628	12327
70	1649	12291
71	1672	12262
72	1694	12231
73	1715	12194
74	1739	12175
75	1762	12149
76	1783	12115
77	1806	12088
78	1829	12063
79	1850	12031
80	1872	11995
81	1894	11967
82	1920	11960
83	1942	11931
84	1965	11906
85	1988	11881
86	2010	11853
87	2032	11823
88	2054	11796
89	2076	11769
90	2099	11743
91	2120	11710
92	2142	11681
93	2164	11650
94	2186	11624
95	2207	11588
96	2228	11555
97	2251	11535
98	2274	11509
99	2295	11475
100	2315	11440
101	2336	11409
102	2358	11382
103	2380	11355
104	2404	11334
105	2427	11314
106	2449	11285
107	2471	11256
108	2492	11228
109	2515	11203
110	2536	11175
111	2558	11146
112	2578	11114
113	2603	11101
114	2626	11076
115	2649	11054
116	2670	11025
117	2692	10998
118	2714	10970
119	2735	10941
120	2758	10918
121	2782	10901
122	2804	10875
123	2825	10845
124	2847	10819
125	2867	10789
126	2888	10756
127	2908	10726
128	2931	10702
129	2954	10680
130	2976	10656
131	3000	10637
132	3020	10604
133	3040	10572
134	3061	10545
135	3082	10518
136	3104	10493
137	3125	10462
138	3145	10433
139	3168	10412
140	3190	10384
141	3211	10356
142	3236	10342
143	3258	10318
144	3278	10288
145	3299	10261
146	3323	10241
147	3345	10217
148	3366	10189
149	3387	10161
150	3408	10135
151	3429	10108
152	3453	10089
153	3474	10062
154	3497	10041
155	3518	10015
156	3540	9989
157	3562	9965
158	3583	9939
159	3606	9916
160	3627	9889
161	3649	9866
162	3673	9849
163	3695	9824
164	3716	9799
165	3739	9776
166	3760	9750
167	3780	9721
168	3802	9697
169	3822	9669
170	3843	9642
171	3864	9616
172	3886	9593
173	3909	9571
174	3929	9542
175	3950	9517
176	3971	9491
177	3993	9466
178	4015	9443
179	4036	9418
180	4059	9397
181	4081	9373
182	4102	9347
183	4124	9323
184	4145	9298
185	4166	9272
186	4188	9250
187	4209	9225
188	4232	9204
189	4253	9178
190	4274	9153
191	4294	9125
192	4315	9100
193	4336	9074
194	4358	9051
195	4382	9032
196	4403	9007
197	4424	8982
198	4443	8953
199	4464	8929
200	4486	8905
201	4507	8880
202	4526	8852
203	4549	8831
204	4570	8806
205	4592	8784
206	4614	8759
207	4635	8735
208	4655	8709
209	4677	8686
210	4698	8661
211	4722	8642
212	4742	8617
213	4762	8591
214	4784	8566
215	4807	8545
216	4828	8521
217	4848	8495
218	4870	8473
219	4892	8451
220	4915	8428
221	4937	8406
222	4958	8382
223	4978	8357
224	4999	8332
225	5021	8309
226	5042	8285
227	5065	8265
228	5088	8244
229	5111	8222
230	5132	8198
231	5154	8175
232	5175	8152
233	5195	8126
234	5217	8104
235	5240	8083
236	5261	8058
237	5281	8033
238	5303	8010
239	5324	7986
240	5346	7964
241	5369	7943
242	5391	7920
243	5413	7898
244	5434	7875
245	5458	7854
246	5480	7831
247	5502	7809
248	5525	7788
249	5546	7765
250	5570	7745
251	5593	7724
252	5614	7701
253	5636	7677
254	5657	7654
255	5679	7631
256	5701	7608
257	5722	7586
258	5747	7567
259	5772	7548
260	5794	7526
261	5815	7502
262	5836	7478
263	5857	7455
264	5879	7432
265	5903	7412
266	5928	7393
267	5949	7370
268	5970	7347
269	5992	7324
270	6015	7302
271	6036	7279
272	6057	7256
273	6081	7235
274	6104	7214
275	6125	7191
276	6146	7167
277	6166	7142
278	6186	7117
279	6208	7095
280	6229	7071
281	6252	7050
282	6273	7027
283	6293	7002
284	6312	6977
285	6334	6954
286	6356	6932
287	6379	6910
288	6400	6887
289	6426	6869
290	6447	6846
291	6467	6821
292	6488	6798
293	6510	6775
294	6531	6752
295	6553	6730
296	6573	6705
297	6593	6682
298	6616	6661
299	6637	6637
300	6660	6615
301	6680	6592
302	6702	6569
303	6723	6546
304	6743	6522
305	6763	6498
306	6788	6478
307	6809	6455
308	6830	6432
309	6850	6408
310	6871	6385
311	6891	6361
312	6913	6338
313	6932	6314
314	6955	6293
315	6976	6270
316	6997	6246
317	7017	6222
318	7037	6199
319	7057	6175
320	7078	6152
